          id  spam  predict
    inmail.3     1  1.00000
inmail.44587     1  1.00000
inmail.44596     1  1.00000
inmail.44615     1  1.00000
inmail.44624     1  1.00000
inmail.44637     1  1.00000
inmail.44641     1  1.00000
inmail.44652     1  1.00000
inmail.44671     1  1.00000
inmail.44676     1  1.00000
inmail.44677     1  1.00000
inmail.44683     1  1.00000
inmail.44696     1  1.00000
inmail.44705     1  1.00000
inmail.44708     1  1.00000
inmail.44717     1  1.00000
inmail.44722     1  1.00000
inmail.44744     1  1.00000
inmail.44751     1  1.00000
inmail.44755     1  1.00000
