          id  spam  predict
inmail.70083     1  6.46536
inmail.17074     1  5.92946
inmail.52242     1  5.68956
inmail.63173     1  5.52537
inmail.35478     0  4.89736
inmail.16757     1  4.60245
inmail.32151     0  4.57834
 inmail.4890     1  4.42375
inmail.16434     1  4.42375
inmail.73498     0  4.36537
 inmail.1113     1  3.95373
inmail.49277     0  3.75379
inmail.57514     1  3.75181
inmail.32913     0  3.73075
inmail.26776     0  3.72879
inmail.60633     0  3.34854
inmail.67947     1  3.28244
inmail.58234     0  3.20917
inmail.16653     1  3.15525
inmail.50703     1  3.14834
