          id  spam  predict
inmail.75410     1  1.00000
inmail.54701     1  1.00000
inmail.54634     1  1.00000
inmail.54639     1  1.00000
inmail.54641     1  1.00000
inmail.26326     1  1.00000
inmail.26322     1  1.00000
inmail.54647     1  1.00000
inmail.54648     1  1.00000
inmail.54670     1  1.00000
inmail.54675     1  1.00000
inmail.26307     1  1.00000
inmail.54696     1  1.00000
inmail.26296     1  1.00000
inmail.54697     1  1.00000
inmail.26284     1  1.00000
inmail.25854     1  1.00000
inmail.54717     1  1.00000
inmail.54736     1  1.00000
inmail.54757     1  1.00000
