Page                                                                                                Page Rank                                                                                           No. of Outlinks                                                                                     No. of Inlinks                                                                                      
https://www.cbsnews.com/boston/politics                                                             0.0002462243035845857                                                                               107                                                                                                 28330                                                                                               
https://foundation.wikimedia.org/wiki/Cookie_statement                                              0.00011628970179569613                                                                              73                                                                                                  29803                                                                                               
https://ibetmittromney.tumblr.com                                                                   9.034260367615587e-05                                                                               23                                                                                                  3834                                                                                                
https://fuckmittromney.tumblr.com                                                                   8.247474925161851e-05                                                                               26                                                                                                  471                                                                                                 
http://knowyourmeme.com/memes/events/fired-big-bird-mitt-romney-hates-big-bird                      6.527398139945489e-05                                                                               200                                                                                                 10169                                                                                               
http://knowyourmeme.com/memes/events/fired-big-bird-mitt-romney-hates-big-bird/photos               6.524029754626082e-05                                                                               165                                                                                                 10166                                                                                               
http://knowyourmeme.com/memes/fired-big-bird-mitt-romney-hates-big-bird/photos/new                  6.524029754626082e-05                                                                               68                                                                                                  10166                                                                                               
http://knowyourmeme.com/memes/events/fired-big-bird-mitt-romney-hates-big-bird/photos/trending      6.495894239432967e-05                                                                               148                                                                                                 10164                                                                                               
https://instagram.com/cnnpolitics                                                                   5.556300402167192e-05                                                                               0                                                                                                   10125                                                                                               
https://www.tumblr.com/follow/ibetmittromney                                                        5.4936419011795344e-05                                                                              9                                                                                                   4093                                                                                                
https://www.bostonherald.com/news/politics                                                          4.7732043526711115e-05                                                                              100                                                                                                 5728                                                                                                
https://www.instagram.com/elizabethwarren                                                           4.6066335945142184e-05                                                                              0                                                                                                   1044                                                                                                
https://medium.com/tag/elizabeth-warren                                                             4.4464204480657395e-05                                                                              42                                                                                                  1318                                                                                                
https://fuckmittromney.tumblr.com/archive                                                           4.27985003974281e-05                                                                                1                                                                                                   449                                                                                                 
https://fuckmittromney.tumblr.com/ask                                                               4.27985003974281e-05                                                                                8                                                                                                   449                                                                                                 
https://fuckmittromney.tumblr.com/mobile                                                            4.27985003974281e-05                                                                                4                                                                                                   449                                                                                                 
https://ibetmittromney.tumblr.com/archive                                                           4.1827895448029776e-05                                                                              1                                                                                                   3787                                                                                                
https://ibetmittromney.tumblr.com/ask                                                               4.1827895448029776e-05                                                                              9                                                                                                   3787                                                                                                
https://ibetmittromney.tumblr.com/faq                                                               4.1827895448029776e-05                                                                              9                                                                                                   3787                                                                                                
https://ibetmittromney.tumblr.com/mobile                                                            4.1827895448029776e-05                                                                              4                                                                                                   3787                                                                                                
https://medium.com/@teamwarren                                                                      3.997481077476272e-05                                                                               27                                                                                                  987                                                                                                 
https://hottiehottiemittromney.tumblr.com                                                           3.505796729593921e-05                                                                               61                                                                                                  1857                                                                                                
https://hottiehottiemittromney.tumblr.com/ask                                                       3.454809589087221e-05                                                                               4                                                                                                   1843                                                                                                
https://en.wikipedia.org/wiki/Portal:United_States                                                  3.369649598497767e-05                                                                               2451                                                                                                5918                                                                                                
https://bittycommittee.tumblr.com                                                                   3.2278904600222235e-05                                                                              64                                                                                                  601                                                                                                 
https://www.boston.com/tag/politics                                                                 3.2251358225393976e-05                                                                              120                                                                                                 4434                                                                                                
http://hottiehottiemittromney.tumblr.com                                                            3.12471091114442e-05                                                                                61                                                                                                  1768                                                                                                
http://hottiehottiemittromney.tumblr.com/ask                                                        3.12471091114442e-05                                                                                4                                                                                                   1768                                                                                                
https://www.cbsnews.com/news/st-patricks-day-lent-meat-eating-dispensation                          2.9944743509823784e-05                                                                              70                                                                                                  4296                                                                                                
http://www.cbsnews.com/politics                                                                     2.9453234914793534e-05                                                                              113                                                                                                 4313                                                                                                
http://www.azcentral.com/politics                                                                   2.7733747233445055e-05                                                                              86                                                                                                  2014                                                                                                
https://elizabethwarren.com                                                                         2.7130168815957005e-05                                                                              29                                                                                                  375                                                                                                 
https://2020.elizabethwarren.com                                                                    2.6301752371702863e-05                                                                              23                                                                                                  669                                                                                                 
https://medium.com/tag/elizabeth-warren/archive                                                     2.356403222729838e-05                                                                               49                                                                                                  715                                                                                                 
https://en.wikipedia.org/wiki/Portal:Politics                                                       2.3012072625731322e-05                                                                              657                                                                                                 3600                                                                                                
https://secure.actblue.com/donate/ew-web-warren-democrats                                           2.2908459259476665e-05                                                                              3                                                                                                   614                                                                                                 
https://www.boston.com/tease/10-things-to-do-in-boston-this-st-patricks-day-weekend-2023            2.2029587594306838e-05                                                                              123                                                                                                 3032                                                                                                
https://en.wikipedia.org/wiki/United_States                                                         2.0711231763690324e-05                                                                              3858                                                                                                5286                                                                                                
http://www.csmonitor.com/usa/politics                                                               1.9245576426801923e-05                                                                              116                                                                                                 2475                                                                                                
https://elizabethwarren.com/faqs                                                                    1.846052747409495e-05                                                                               32                                                                                                  374                                                                                                 
http://features.csmonitor.com/usa/politics                                                          1.7483450165098606e-05                                                                              116                                                                                                 2236                                                                                                
https://elizabethwarren.com/introducing-warren-democrats                                            1.716926821419478e-05                                                                               25                                                                                                  359                                                                                                 
https://en.wikipedia.org/wiki/Democratic_Party_(United_States)                                      1.669990422514273e-05                                                                               3630                                                                                                10794                                                                                               
https://en.wikipedia.org/wiki/Federal_government_of_the_United_States                               1.6687620281209318e-05                                                                              1716                                                                                                7904                                                                                                
https://mittromney.tumblr.com                                                                       1.6637310812816162e-05                                                                              43                                                                                                  687                                                                                                 
https://en.wikipedia.org/wiki/Republican_Party_(United_States)                                      1.565680069556663e-05                                                                               3975                                                                                                10256                                                                                               
http://datacenter.commonwealthfund.org                                                              1.526490784957715e-05                                                                               65                                                                                                  627                                                                                                 
http://datacenter.commonwealthfund.org/international-health-policy-center/system-profiles           1.5041795777641572e-05                                                                              62                                                                                                  616                                                                                                 
http://datacenter.commonwealthfund.org/medicaid                                                     1.5041795777641572e-05                                                                              56                                                                                                  616                                                                                                 
http://datacenter.commonwealthfund.org/medicare                                                     1.5041795777641572e-05                                                                              56                                                                                                  616                                                                                                 
http://datacenter.commonwealthfund.org/medicare-data-hub-about                                      1.5041795777641572e-05                                                                              48                                                                                                  616                                                                                                 
http://datacenter.commonwealthfund.org/programs                                                     1.5041795777641572e-05                                                                              50                                                                                                  616                                                                                                 
http://datacenter.commonwealthfund.org/grants                                                       1.5041795777641572e-05                                                                              60                                                                                                  616                                                                                                 
http://datacenter.commonwealthfund.org/health-equity                                                1.5041795777641572e-05                                                                              52                                                                                                  616                                                                                                 
http://datacenter.commonwealthfund.org/costs-and-spending                                           1.5041795777641572e-05                                                                              69                                                                                                  616                                                                                                 
http://datacenter.commonwealthfund.org/coverage-and-access                                          1.5041795777641572e-05                                                                              67                                                                                                  616                                                                                                 
http://datacenter.commonwealthfund.org/datacenter                                                   1.5041795777641572e-05                                                                              65                                                                                                  616                                                                                                 
http://datacenter.commonwealthfund.org/delivery-system-reform                                       1.5041795777641572e-05                                                                              67                                                                                                  616                                                                                                 
http://datacenter.commonwealthfund.org/featured-maps                                                1.5041795777641572e-05                                                                              44                                                                                                  616                                                                                                 
http://datacenter.commonwealthfund.org/fellowships                                                  1.5041795777641572e-05                                                                              43                                                                                                  616                                                                                                 
http://datacenter.commonwealthfund.org/about-us                                                     1.5041795777641572e-05                                                                              45                                                                                                  616                                                                                                 
http://datacenter.commonwealthfund.org/about-us/equity-diversity-and-inclusion                      1.5041795777641572e-05                                                                              43                                                                                                  616                                                                                                 
http://datacenter.commonwealthfund.org/cdn-cgi/l/email-protection                                   1.5041795777641572e-05                                                                              4                                                                                                   616                                                                                                 
https://www.boston.com/news/politics/2023/03/17/will-americans-end-up-footing-the-bill-for-bank-failures1.4942361882405578e-05                                                                              117                                                                                                 2083                                                                                                
http://ibetmittromney.tumblr.com                                                                    1.4760363875763347e-05                                                                              23                                                                                                  315                                                                                                 
https://en.wikipedia.org/wiki/President_of_the_United_States                                        1.4173596536898742e-05                                                                              2629                                                                                                9488                                                                                                
https://fuckmittromney.tumblr.com/mobile/page/2                                                     1.4147597054994029e-05                                                                              2                                                                                                   3                                                                                                   
http://www.flickr.com/photos/mittromney                                                             1.4042794930300347e-05                                                                              47                                                                                                  575                                                                                                 
http://ibetmittromney.tumblr.com/archive                                                            1.4026460042561299e-05                                                                              1                                                                                                   306                                                                                                 
http://ibetmittromney.tumblr.com/ask                                                                1.4026460042561299e-05                                                                              9                                                                                                   306                                                                                                 
http://ibetmittromney.tumblr.com/faq                                                                1.4026460042561299e-05                                                                              9                                                                                                   306                                                                                                 
http://ibetmittromney.tumblr.com/mobile                                                             1.4026460042561299e-05                                                                              4                                                                                                   306                                                                                                 
http://ibetmittromney.tumblr.com/random                                                             1.4026460042561299e-05                                                                              46                                                                                                  306                                                                                                 
http://www.elizabethwarren.com                                                                      1.3766447628881314e-05                                                                              29                                                                                                  263                                                                                                 
http://bittycommittee.tumblr.com                                                                    1.334528351073107e-05                                                                               64                                                                                                  702                                                                                                 
http://bittycommittee.tumblr.com/archive                                                            1.334528351073107e-05                                                                               1                                                                                                   702                                                                                                 
http://bittycommittee.tumblr.com/ask                                                                1.334528351073107e-05                                                                               9                                                                                                   702                                                                                                 
http://bittycommittee.tumblr.com/random                                                             1.334528351073107e-05                                                                               73                                                                                                  702                                                                                                 
http://bittycommittee.tumblr.com/submit                                                             1.334528351073107e-05                                                                               9                                                                                                   702                                                                                                 
https://en.wikipedia.org/wiki/Massachusetts                                                         1.2768679500868049e-05                                                                              3231                                                                                                4431                                                                                                
http://www.elizabethhurley.com                                                                      1.2655879203658546e-05                                                                              89                                                                                                  197                                                                                                 
